EPOCH                          SW_VTH        ION_NP      DEL_TIME      VX_(GSM)      VY_(GSM)      VZ_(GSM)
                                                                         (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyyhh:mm:ss.ms            km/s          #/cc            ms          km/s          km/s          km/s
06-01-1997 03:44:02.166       22.3938       11.4654       6963.70      -335.906       3.60370      -3.64667
06-01-1997 03:45:25.067       21.2028       11.1638       6963.70      -339.358      0.136713      -4.13388
06-01-1997 03:46:47.968       22.5956       12.8996       6963.70      -335.331      -1.01159      -3.42378
06-01-1997 03:48:07.799       22.3474       14.1478       6963.70      -338.588      0.636839      -3.82865
06-01-1997 03:49:30.702       20.9284       14.7957       6963.70      -336.309       3.85905      -2.59134
06-01-1997 03:50:53.602       22.2721       13.7202       6963.83      -334.933       3.77193      -1.77674
06-01-1997 03:52:13.433       21.7000       13.3895       6963.70      -335.108       1.24621      -3.45015
06-01-1997 03:53:34.941       21.5201       12.9618       8358.40      -329.717      -2.54148      -2.98596
06-01-1997 03:54:57.841       22.8362       12.2938       8358.57      -332.603      -4.18979      -1.38510
06-01-1997 03:56:22.138       24.2335       12.4283       6963.83      -336.298      -5.95161     -0.651174
06-01-1997 03:57:45.040       23.2955       11.6548       6963.70      -336.861      -2.33077      -4.84393
06-01-1997 03:59:04.872       22.0260       11.7774       6963.83      -332.821     -0.609374      -1.52246
06-01-1997 04:00:29.308       22.3842       11.4437       8499.07      -340.922     -0.995082      -6.53725
06-01-1997 04:01:49.138       23.1163       12.2609       8498.90      -341.830      -2.88591      -4.12853
06-01-1997 04:03:10.505       22.0645       12.4289       6963.70      -340.265      -2.60760     0.0643373
06-01-1997 04:04:33.406       21.9454       12.6005       6963.83      -339.114      -1.25266       1.90745
06-01-1997 04:05:54.772       22.9711       12.1541       8498.90      -339.776      0.169055      -2.49271
06-01-1997 04:07:16.139       21.4728       12.5958       6963.70      -341.101      -2.62008     -0.682238
06-01-1997 04:08:37.506       22.4424       12.9267       8499.07      -341.570      -1.58066     -0.809430
06-01-1997 04:10:00.408       21.9996       13.2061       8499.07      -340.753      -4.46763      -3.31871
06-01-1997 04:11:23.308       22.0105       12.9339       8498.90      -341.477      -3.01353      -1.23276
06-01-1997 04:12:46.210       21.6206       12.9105       8499.07      -340.983      -3.21599    -0.0153227
06-01-1997 04:14:09.113       22.7193       12.6959       8499.07      -342.168      -4.59353     -0.547777
06-01-1997 04:15:28.942       23.4387       11.9454       8498.90      -343.550      -1.81278   -0.00131307
06-01-1997 04:16:51.844       23.3786       11.7342       8499.07      -341.108      0.142791       1.01425
06-01-1997 04:18:13.210       25.2894       12.7121       6963.70      -337.918      -12.2025      -2.51111
06-01-1997 04:19:36.111       25.4441       14.2902       6963.83      -336.322     -0.741933       6.65633
06-01-1997 04:20:57.619       26.0135       13.6704       8358.57      -335.793     0.0757874       3.00314
06-01-1997 04:22:23.450       26.0225       12.4931       8498.90      -341.938      0.512882      -1.32774
06-01-1997 04:23:44.816       26.9797       13.7881       6963.70      -336.294      -2.90630       4.41054
06-01-1997 04:25:07.717       22.8490       15.1908       6963.70      -339.105      0.167583       9.05628
06-01-1997 04:26:27.548       22.4801       14.5201       6963.70      -338.140       1.41343       6.97538
06-01-1997 04:27:51.986       21.3993       12.5264       8498.90      -343.725       2.64593       4.90076
06-01-1997 04:29:14.887       19.6342       12.2401       8499.07      -344.743       5.13402       1.95114
06-01-1997 04:30:37.789       19.5726       12.4175       8498.90      -345.212       5.08978       1.57744
06-01-1997 04:32:00.690       19.9716       13.1775       8499.07      -347.689       3.40681       1.92300
06-01-1997 04:33:20.521       18.9567       12.8358       8499.07      -347.246       5.77698       2.08439
06-01-1997 04:34:43.421       19.5358       12.9503       8498.90      -347.323       8.32668       1.15478
06-01-1997 04:36:06.322       18.7223       13.7075       8498.90      -347.333       6.98576       2.27148
06-01-1997 04:37:29.226       18.5392       15.1250       8499.07      -345.030       10.9638      0.707565
06-01-1997 04:38:52.160       18.6137       14.4565       8534.00      -345.499       11.2323       1.07344
06-01-1997 04:40:11.957       18.5371       14.9118       8498.90      -345.375       7.78212       1.82373
06-01-1997 04:41:34.861       18.8226       15.9695       8499.07      -345.522       4.90731      0.953827
06-01-1997 04:42:57.761       17.8649       14.6403       8499.07      -343.984       6.12105       3.14614
06-01-1997 04:44:17.591       17.6416       14.4441       8498.90      -344.473       7.24031       2.43554
06-01-1997 04:45:40.494       17.7983       14.6517       8499.07      -343.749       7.46922       2.50885
06-01-1997 04:47:00.359       18.9615       16.3151       8534.00      -344.708       11.7237       2.11890
06-01-1997 04:48:23.259       18.7518       15.5852       8534.00      -344.179       16.2253       2.94957
06-01-1997 04:49:46.164       19.0327       15.2631       8534.17      -342.516       13.7390       2.74447
06-01-1997 04:51:09.062       18.9525       14.5389       8534.00      -340.510       15.5268       4.26098
06-01-1997 04:52:31.964       18.6498       14.5827       8534.00      -340.611       12.5146       3.62381
06-01-1997 04:53:51.798       18.8793       14.1492       8534.17      -339.279       11.6707       3.31965
06-01-1997 04:55:14.699       18.9854       14.0045       8534.17      -339.641       12.1207       2.70154
06-01-1997 04:56:37.601       17.9220       13.7694       8534.07      -341.173       10.9768       1.84644
06-01-1997 04:58:00.499       17.3900       14.4252       8534.00      -341.936       12.9311      0.305945
06-01-1997 04:59:23.367       17.1737       15.2489       8498.90      -341.439       9.72083     -0.253293
06-01-1997 05:00:46.304       17.9520       15.0255       8534.17      -339.828       10.5784       1.95082
06-01-1997 05:02:09.169       18.1394       15.4730       8498.90      -340.245       9.63650       1.27315
06-01-1997 05:03:32.072       18.0248       15.0765       8499.07      -340.384       7.95846     -0.557033
06-01-1997 05:04:51.904       18.1487       14.9844       8499.07      -341.177       8.15277     -0.567773
06-01-1997 05:06:14.804       18.1428       14.9683       8498.90      -341.015       8.85600     0.0382294
